transaction_id,subject_token,occurred_at,amount,currency,channel,product,transaction_type,installments,merchant_id,mcc,merchant_is_new_for_subject,device_fingerprint_token,device_is_new_for_subject,geo_country,geo_region,geo_precision,ip_hash,label_category,is_fraud
fde5c0f9-9aeb-800a-ab45-e1a750910706,subj_3dbbec79d0ad5524,2025-01-02T12:55:34Z,199.68,BRL,ecommerce,credit,purchase,1,mer_b70faea40d6d1ede,servicos,True,dev_bafeebd4f0b686a2,True,BR,BR-01,cell,ip_ae44cca54b057b95,legitima_confirmada,False
b7d433b7-8230-06bd-6817-3b803c773ae6,subj_c07d43015edcd12c,2025-01-02T18:59:45Z,87.66,BRL,pos,credit,purchase,1,mer_352448e7aacc0f27,varejo,True,dev_4779e588279ceaf0,True,BR,BR-25,gps,ip_c4784cedc6bbd330,legitima_confirmada,False
38d1848b-c04c-0f67-d53f-a2ebef7683b3,subj_3dbbec79d0ad5524,2025-01-02T19:23:43Z,53.86,BRL,ecommerce,credit,purchase,1,mer_8952c4f84cc8cd95,servicos,False,dev_19c2fe8580dc8619,False,BR,BR-01,ip,ip_7c4419702c8e0e5a,legitima_confirmada,False
30f0544a-af8d-2ada-1ec1-0a05521eeddf,subj_c07d43015edcd12c,2025-01-02T19:53:50Z,102.73,BRL,pos,credit,subscription,1,mer_89dbc97a9ad2708a,digital,True,dev_e1361c6297b0c163,False,BR,BR-25,gps,ip_dc3eb50a16cb2b4d,legitima_confirmada,False
64bf3edd-89f4-fb1f-1a27-0eb1eaed6884,subj_327ffdc578184c70,2025-01-03T02:07:28Z,47.71,BRL,wallet,private_label,bill_payment,3,mer_028bdafcb3c1e527,varejo,True,dev_0c069cd467b603be,True,BR,BR-14,cell,ip_9615dd0072141f8a,legitima_confirmada,False
884a60ea-b301-7860-9cd4-5cd60da27a34,subj_4dc0bbc5043c9eef,2025-01-03T04:12:25Z,1187.87,BRL,pos,credit,purchase,1,mer_ead7a4d9e5790dae,aposta,True,dev_808364441a5f4713,True,BR,BR-19,cell,ip_1d49d6ac6bf02f96,fraude_confirmada,True
be87046c-fbe9-098c-4add-52c5c243e65e,subj_f86bd4ed33b78508,2025-01-03T05:33:50Z,71.22,BRL,atm,credit,purchase,1,mer_c399b3f3399517f1,varejo,True,dev_e1baf53db2dfb2ec,True,BR,BR-11,cell,ip_7bf15c8727ad7e0b,legitima_confirmada,False
54e1f34c-a9a1-d535-239a-621ef5b50375,subj_a87838f7139eff0f,2025-01-03T05:51:40Z,36.9,BRL,pos,credit,purchase,6,mer_9d32507aae52d1ac,digital,True,dev_47ebc6cb14582009,True,BR,BR-18,ip,ip_5aa15277c941fcb2,legitima_confirmada,False
931b09fa-bb68-9b0c-8846-eca5eaa5d6c2,subj_c900630a8a2512fb,2025-01-03T06:19:54Z,310.58,BRL,atm,credit,purchase,3,mer_7e0cb983ab05014c,saque,True,dev_d8ed6bafe65a6725,True,BR,BR-10,cell,ip_056df6606fd6eb93,legitima_confirmada,False
8192568f-20db-63a1-b186-e391b114cf5f,subj_286c825de7b4233b,2025-01-03T16:47:06Z,86.59,BRL,recurring,credit,purchase,1,mer_e5ea9259702d3c03,servicos,True,dev_a5f92274419220d6,True,BR,BR-19,cell,ip_e970be188df4d3cf,legitima_confirmada,False
